Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
SINSI2SL4-C9300,146.40.60.11,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2SL6-9300,146.40.60.16,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2SL8,146.40.18.22,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2SL9,146.40.60.27,SINSI2,Cisco,Cisco Catalyst 9300 Series Switch,17.3.5,APAC
SINSI2VG01-VG310,146.44.113.11,SINSI2,Cisco,VG310,15.6(3)M1,APAC
SINSI2VG02-VG202XM,146.44.112.12,SINSI2,Cisco,Cisco Voice Gateway VG202XM,15.4(3)M8,APAC
SINSI2VG03-VG202XM,146.44.112.13,SINSI2,Cisco,Cisco Voice Gateway VG202XM,15.4(3)M8,APAC
slc235nxmfc1,146.34.2.198,,Cisco,Cisco Unified Communications Manager,None,APAC
slc235nxmft1,146.34.2.199,,Cisco,Cisco Unified Communications Manager,None,APAC
SRICL3CE2,146.40.80.223,SRICL3,Cisco,Cisco Catalyst 9300 Series Switch,16.9.5,APAC
SRIGHI-DHAK94 (Aamra 10M SRIGHIRL1 F0/1/0-DHAK94RL3 F0/1/0),146.40.156.234,SRIGHI,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
SRIGHI-DHAK94 (Aamra 2nd 10M SRIGHIRL1 F0/2/0-DHAK94RL2 F0/2/1),146.40.79.238,SRIGHI,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
SRIGHI-F30831 (InterCloud 50M SRIGHIRL2 F0/1/0-F30831RL01 G0/3/0),146.40.79.205,DHAK94,Cisco,Cisco 3925K9,15.7(3)M5,APAC
SRIGHIGA1,146.44.191.241,SRIGHI,Cisco,Cisco 3925K9,15.1(3)T,APAC
SRIGHI-MUCHAI ( 10MFIBER SRIGHIRL2 F0/1/1 - SRIGHIRT1 F0/0/0),146.40.79.194,SRIGHI,Cisco,Cisco 2921K9,15.5(3)M6a,APAC
SRIGHI-MUCHAI (Aamra 6M FIBER SRIGHIRL1 F0/1/1 - SRIGHIRT2 F0/0/0),146.40.79.198,SRIGHI,Cisco,Cisco 2911K9,15.5(3)M6a,APAC
SRIGHIRL1,146.40.79.252,SRIGHI,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
SRIGHIRL2,146.40.70.254,SRIGHI,Cisco,Cisco 2921K9,15.5(3)M6a,APAC
SRIGHIRT1,146.40.79.242,SRIGHI,Cisco,Cisco 2921K9,15.5(3)M6a,APAC
SRIGHIRT2,146.40.79.241,SRIGHI,Cisco,Cisco 2911K9,15.5(3)M6a,APAC
