Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
F07058-O43-MS42,Cannot connect to 134.248.222.36,15.0(2)SE11,134.248.222.36,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-O49-MS42,Cannot connect to 134.248.222.25,15.2(4)E5,134.248.222.25,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-O51-AR23,Cannot connect to 134.248.222.2,6.2(16),134.248.222.2,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-O51-AR23-EX,Cannot connect to 134.248.222.61,6.2(16),134.248.222.61,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-O51-AR23-HS,Cannot connect to 134.248.222.57,6.2(16),134.248.222.57,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-O51-AR23-PR,Cannot connect to 134.248.222.59,6.2(16),134.248.222.59,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-O51-SL28,Cannot connect to 146.29.192.196,15.0(2)SE11,146.29.192.196,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-OfficeArea-SL01,Cannot connect to 146.29.192.199,15.2(4)E9,146.29.192.199,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-Q49-MS42,Cannot connect to 134.248.222.26,15.2(4)E5,134.248.222.26,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-R43-MS42,,15.0(2)SE11,134.248.222.35,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-S41-MS42,Cannot connect to 134.248.222.97,15.2(4)E5,134.248.222.97,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-S43-MS42,Cannot connect to 134.248.222.34,15.0(2)SE11,134.248.222.34,Cisco,Cisco Catalyst 3560CG-8PC-S,APAC,F07058,
F07058-S49-EL27A,Cannot connect to 134.248.222.15,7.3(3)N1(1),134.248.222.15,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-S49-MS38,Cannot connect to 134.248.222.10,15.2(4)E5,134.248.222.10,Cisco,Catalyst 3560X-24U-S,APAC,F07058,
F07058-S51-AS23,Cannot connect to 134.248.222.4,6.2(16),134.248.222.4,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-S51-AS23-EX,Cannot connect to 134.248.222.55,6.2(16),134.248.222.55,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-S51-AS23-HS,Cannot connect to 134.248.222.51,6.2(16),134.248.222.51,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-S51-AS23-PR,Cannot connect to 134.248.222.53,6.2(16),134.248.222.53,Cisco,Cisco Nexus 7000 Series,APAC,F07058,
F07058-T27-MS26,Cannot connect to 134.248.222.108,15.2(4)E5,134.248.222.108,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-T27-PL29A,Cannot connect to 134.248.222.98,7.3(3)N1(1),134.248.222.98,Cisco,Nexus 56128P,APAC,F07058,
F07058-T35-EL27A,,7.3(3)N1(1),134.248.222.79,Cisco,Cisco Nexus 5548,APAC,F07058,Cisco Nexus
F07058-T35-HSL25A,,7.3(3)N1(1),134.248.222.81,Cisco,Cisco Nexus 5548,APAC,F07058,Cisco Nexus
F07058-T35-PL29A,,7.3(3)N1(1),134.248.222.77,Cisco,Cisco Nexus 5548,APAC,F07058,Cisco Nexus
